insee,commune_name,total_tiles,total_population,total_households,avg_income_person,mean_poverty_rate,avg_income_person_popweighted,mean_poverty_rate_hhweighted
01397,Sauverny,1,2.0,0.7,50068.7,0.0,50068.7,0.0
74016,Archamps,2,875.5,390.1,49640.675,8.16,48947.449674471725,8.64133042809536
74031,Beaumont,3,633.0,233.3,45322.386666666665,8.243333333333334,48473.755718799366,7.326270895842263
74185,Monnetier-Mornex,2,212.5,71.3,42958.475,21.325,46694.07870588235,3.363604488078541
78561,Saint-Lambert,1,34.0,9.400000000000002,46234.77,0.0,46234.77,0.0
74180,Messery,3,740.5,272.3,46860.20333333333,8.093333333333332,45724.85103983795,6.719313257436651
74145,Juvigny,1,266.5,107.0,44873.32,4.77,44873.32,4.77
01180,Grilly,2,473.0,192.09999999999997,47116.21,4.315,44800.401331923895,7.807881311816764
74088,Copponex,2,288.0,98.8,40278.134999999995,7.324999999999999,44709.009791666664,5.874412955465586
74299,Veyrier-du-Lac,6,2021.5,863.9000000000001,44966.743333333325,5.44,44599.409035369776,5.406698691978238
74052,Cernex,3,323.0,126.0,43772.96333333334,4.223333333333334,44374.57746130031,5.394976190476191
78372,Marly-le-Roi,1,872.5,286.0,44257.34,6.99,44257.34,6.99
92064,Saint-Cloud,2,11765.0,4986.9,43006.435,8.46,43724.39786740332,7.317125067677315
68061,Buschwiller,1,275.0,113.0,43622.37,2.65,43622.37,2.65
78571,Saint-Nom-la-Bretèche,4,4177.0,1445.3,44237.6175,3.66,43471.28553986115,3.6710641389330942
74124,Feigères,2,951.0,404.00000000000006,44289.135,6.885,43072.037602523655,8.639497524752475
74025,Ballaison,3,694.0,259.0,43202.02,5.396666666666666,43051.569517291064,6.178250965250965
01153,Échenevex,3,1495.5,526.7,37613.613333333335,12.62,42804.381838849884,8.276096449591797
74168,Marlioz,1,108.5,41.1,42598.57,7.3,42598.57,7.300000000000001
74293,Veigy-Foncenex,11,3124.0,1398.7,44528.85272727273,6.888181818181818,42388.71442861716,9.452134124544218
74101,Dingy-en-Vuache,3,380.5,141.0,42218.11666666667,9.06,42211.577253613665,7.871489361702128
74201,Neydens,1,778.5,331.4,42160.42,6.91,42160.42,6.909999999999999
78233,Feucherolles,3,2013.5,669.0,42964.80333333334,5.26,42148.62181028061,4.485919282511211
01103,Chevry,1,465.0,174.0,42017.5,9.14,42017.5,9.14
51457,Reuil,1,23.0,8.4,41892.08,0.0,41892.08,0.0
78653,Vicq,1,34.0,12.8,41594.86,0.0,41594.86,0.0
78289,Grosrouvre,4,589.0,222.60000000000002,41527.45,2.6875,41577.744329371824,3.1017834681042227
74296,Vers,1,227.0,82.0,41465.25,4.88,41465.25,4.88
78162,Choisel,2,59.5,21.099999999999998,38626.0,15.505,41338.48949579832,6.637725118483412
74216,Présilly,2,136.5,55.199999999999996,41675.205,7.585,41273.006153846145,5.7972282608695656
74040,Bonne,2,1058.5,425.20000000000005,41342.805,7.9350000000000005,41235.303863958434,7.949595484477892
01143,Divonne-les-Bains,20,9191.5,3917.2,43064.881,7.8255,41191.38032747648,9.093987797406308
78358,Maisons-Laffitte,1,3763.5,1538.1000000000001,40980.02,6.1,40980.02,6.1
74128,Fillinges,3,668.0,279.9,40816.36666666667,6.946666666666666,40809.95190868263,4.96459807073955
74153,Lucinges,1,265.5,104.8,40690.9,9.73,40690.9,9.73
78152,Chavenay,2,739.0,271.70000000000005,41206.87,4.1,40658.12236806495,4.67311004784689
68094,Folgensbourg,1,34.0,13.200000000000001,40656.26,7.58,40656.26,7.58
68182,Leymen,10,1078.5,463.90000000000003,39814.141,3.9770000000000003,40516.398446917025,6.017738736796724
74309,Viry,16,4574.5,2030.1,41667.8975,7.803125,40378.291510547606,9.159154721442295
74070,Chens-sur-Léman,7,2376.0,1030.3,42182.95428571429,6.258571428571429,40326.29033670033,9.499720469766087
91645,Verrières-le-Buisson,1,1178.5,419.0,40237.91,2.15,40237.91,2.15
01436,Vesancy,1,411.5,173.59999999999997,40234.08,7.14,40234.08,7.14
68232,Neuwiller,4,447.5,214.1,39526.4525,2.6075,40116.17072625698,4.575796356842597
01078,Challex,7,1267.0,517.8,39982.48285714286,13.667142857142858,39901.88828334649,9.599943993820006
74288,Valleiry,3,2922.5,1237.1,41622.62333333333,8.616666666666667,39780.982893071,9.538490825317275
77145,Crisenoy,2,11.0,3.5,39760.81,0.0,39760.810909090906,0.0
74144,Jonzier-Épagny,2,410.5,160.1,40786.015,9.08,39723.76496954933,10.05890693316677
74199,Nernier,1,258.5,121.89999999999999,39528.0,12.39,39528.0,12.39
78431,Morainvilliers,2,1324.5,467.0,34785.645,4.8100000000000005,39515.878248395624,4.305074946466809
74162,Marcellaz,1,289.0,101.00000000000003,39235.23,1.98,39235.23,1.98
74013,Anthy-sur-Léman,3,1349.0,537.1,41235.956666666665,6.28,39153.3319125278,6.850189908769317
74116,Etaux,4,670.0,238.89999999999998,38895.915,3.27,39152.05758208955,4.146948514022604
74184,Minzier,2,644.5,245.90000000000006,37969.405,10.9,39099.66932505818,10.652533550223668
68160,Kappelen,1,76.0,32.400000000000006,38995.52,8.95,38995.52,8.95
78196,Davron,1,273.0,102.10000000000001,38949.88,5.88,38949.88,5.88
74082,Collonges-sous-Salève,1,23.0,10.0,38918.7,35.0,38918.7,35.0
68190,Lucelle,2,10.0,5.0,38832.265,0.0,38832.263,0.0
68208,Michelbach-le-Haut,1,382.0,157.9,38827.27,1.9,38827.27,1.9
74244,Saint-Laurent,4,306.5,121.80000000000001,37648.08,7.6625,38805.44110929853,6.649786535303776
74285,Usinens,1,91.0,32.1,38734.18,5.92,38734.18,5.92
78466,Orgeval,5,4552.5,1617.8000000000002,43844.888,2.94,38728.08291817683,4.701006304858449
92002,Antony,1,8206.5,3631.0,38712.12,6.03,38712.12,6.03
74224,La Roche-sur-Foron,2,213.5,74.1,38237.335,6.855,38704.105339578455,6.6157894736842096
74086,Contamine-Sarzin,2,252.5,90.7,39100.91,11.940000000000001,38691.99805940594,11.90446527012128
74087,Contamine-sur-Arve,1,749.0,265.09999999999997,38686.49,3.77,38686.49,3.77
74109,Éloise,2,546.0,205.0,38622.005000000005,2.805,38623.88858974359,2.875770731707317
78356,Magny-les-Hameaux,4,349.0,130.7,37473.74,6.1825,38551.64836676217,5.278048967100231
01288,Péron,7,1482.0,577.9,39163.33142857143,6.782857142857142,38542.001575573544,8.148712580031146
21150,Chassagne-Montrachet,2,173.5,87.0,39456.83,1.85,38515.06587896254,3.4448275862068964
